ID, me,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
13659,Martin Luther Borthen,M,41,,,Heira II,NOR,1920 Summer,1920,Summer,Antwerpen,Sailing,Sailing Mixed 12 metres,Gold
40696,Hermann Glaser,M,29,187,80,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres", 
52763,Gyrgy Ivnkai,M,30,171,73,Hungary,HUN,1968 Winter,1968,Winter,Grenoble,Speed Skating,"Speed Skating Men's 5,000 metres", 
116166,Attila Sudr,M,26,187,81,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Water Polo,Water Polo Men's Water Polo,Bronze
48824,Irene Hirst,F,22,,,Great Britain,GBR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Women's Balance Beam, 
105043,Artour Samsonov,M,23,187,83,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Pairs, 
111490,akir xliyev,M,21,163,,Azerbaijan,AZE,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horizontal Bar, 
23225,Chus Cortina,F,17,,,Mexico,MEX,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Slalom, 
112858,Josip olar,M,,,,Yugoslavia,YUG,1928 Summer,1928,Summer,Amsterdam,Cycling,"Cycling Men's Road Race, Individual", 
98107,Evgeniya Nikolova Radanova,F,24,166,65,Bulgaria,BUL,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres", 
41025,Taniele Gofers,F,23,183,80,Australia,AUS,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Bronze
94887,Julien Pillet,M,30,184,75,France,FRA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Individual", 
92215,Brandon Douglas Paulson,M,22,162,52,United States,USA,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
40047,Nilima Ghose,F,17,,,India,IND,1952 Summer,1952,Summer,Helsinki,Athletics,Athletics Women's 100 metres, 
135233,Peter onta,M,23,180,65,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Bronze
124320,Jurgen Van Den Broeck,M,25,183,68,Belgium,BEL,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Road Race, Individual", 
81152,Rosa Molina Arias,F,25,165,82,Chile,CHI,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's Shot Put, 
73453,James Magnussen,M,21,198,94,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay, 
114119,Giulia Staccioli,F,20,173,56,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual, 
113228,Jnos Sre,M,25,172,66,Hungary,HUN,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's 1,000 metres Time Trial", 
17836,Yasemin Can,F,19,166,49,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,"Athletics Women's 5,000 metres", 
59480,Taras Yuryevich Khtey,M,30,205,109,Russia,RUS,2012 Summer,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
52397,Carlos Isaac,M,24,178,62,Argentina,ARG,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay, 
10483,Evy Margareta Berggren (-Westerberg),F,18,,,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Women's Team Portable Apparatus,Gold
